merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
49322182190,Gravida Mauris Incorporated,"Fashion, Jewelry & Personal Goods",10,10,114,1
45629217853,Lacus Consulting,"Fashion, Jewelry & Personal Goods",3,3,137,3
79417999332,Phasellus At Company,"Fashion, Jewelry & Personal Goods",15,16,116,4
86578477987,Leo In Consulting,"Fashion, Jewelry & Personal Goods",2,2,158,8
32361057556,Orci In Consequat Corporation,"Fashion, Jewelry & Personal Goods",1,1,165,10
94493496784,Dictum Phasellus In Institute,"Fashion, Jewelry & Personal Goods",9,9,152,11
68559320474,Aliquam Auctor Associates,"Fashion, Jewelry & Personal Goods",34,34,124,15
93558142492,Dolor Quisque Inc.,"Fashion, Jewelry & Personal Goods",43,43,120,20
19492220327,Commodo Ipsum Industries,"Fashion, Jewelry & Personal Goods",24,25,175,27
60956456424,Ultricies Dignissim LLP,"Fashion, Jewelry & Personal Goods",27,27,176,29
99976658299,Sociosqu Corp.,"Fashion, Jewelry & Personal Goods",55,55,127,30
11439466003,Blandit At LLC,"Fashion, Jewelry & Personal Goods",45,45,173,37
62224020443,Hendrerit A Corporation,"Fashion, Jewelry & Personal Goods",65,65,136,38
90918180829,Pharetra Quisque Company,"Fashion, Jewelry & Personal Goods",81,85,144,47
71528203369,Ipsum Primis Associates,"Fashion, Jewelry & Personal Goods",90,90,154,63
80324045558,Ipsum Dolor Sit Corporation,"Fashion, Jewelry & Personal Goods",98,98,151,68
81219314324,Faucibus Leo Ltd,"Fashion, Jewelry & Personal Goods",40,40,272,72
29616684420,Tellus Id LLC,"Fashion, Jewelry & Personal Goods",88,89,182,76
81761494572,Nulla Facilisis Institute,"Fashion, Jewelry & Personal Goods",68,68,239,80
23338656015,Iaculis LLC,"Fashion, Jewelry & Personal Goods",72,72,232,81
15043504837,Odio Incorporated,"Fashion, Jewelry & Personal Goods",82,87,253,96
85362139954,In Consequat Associates,"Fashion, Jewelry & Personal Goods",119,119,214,108
20325086904,Vivamus Rhoncus Ltd,"Fashion, Jewelry & Personal Goods",142,142,234,124
10596295795,Egestas A Associates,"Fashion, Jewelry & Personal Goods",167,175,193,127
15269431008,Nisi Limited,"Fashion, Jewelry & Personal Goods",173,172,215,129
83690644458,Id Erat Etiam Consulting,"Fashion, Jewelry & Personal Goods",102,102,370,134
56796971172,Enim Non Nisi Corporation,"Fashion, Jewelry & Personal Goods",183,183,213,135
82076270246,Lorem Ipsum Foundation,"Fashion, Jewelry & Personal Goods",201,201,194,138
76626119831,Tristique Pellentesque Inc.,"Fashion, Jewelry & Personal Goods",188,188,252,148
91720867026,Eget Mollis LLC,"Fashion, Jewelry & Personal Goods",116,116,402,152
73489866331,Eu Dui Cum Company,"Fashion, Jewelry & Personal Goods",147,156,380,162
12870663624,Vestibulum Ut Eros Corporation,"Fashion, Jewelry & Personal Goods",139,140,407,164
58476363584,Mauris Blandit Foundation,"Fashion, Jewelry & Personal Goods",202,202,321,179
66842618444,Ultrices Inc.,"Fashion, Jewelry & Personal Goods",127,128,474,181
31637210281,Lorem Luctus Incorporated,"Fashion, Jewelry & Personal Goods",152,153,452,189
96161947306,Imperdiet Dictum Magna Associates,"Fashion, Jewelry & Personal Goods",291,291,178,190
51550230865,Mauris Corp.,"Fashion, Jewelry & Personal Goods",263,263,236,191
44345785419,Phasellus Nulla LLC,"Fashion, Jewelry & Personal Goods",157,170,438,192
70893725439,Luctus Curabitur Incorporated,"Fashion, Jewelry & Personal Goods",231,231,319,198
80779820715,Euismod Enim LLC,"Fashion, Jewelry & Personal Goods",292,293,203,201
15069598461,Parturient Institute,"Fashion, Jewelry & Personal Goods",290,290,249,206
79269463423,Egestas Fusce Aliquet Company,"Fashion, Jewelry & Personal Goods",219,219,394,208
40555823280,Nibh Donec Incorporated,"Fashion, Jewelry & Personal Goods",283,284,313,223
47459279421,Aliquam Gravida PC,"Fashion, Jewelry & Personal Goods",159,160,571,226
53062283717,Mi Felis Adipiscing Company,"Fashion, Jewelry & Personal Goods",280,280,348,232
15912561882,Nullam Nisl Institute,"Fashion, Jewelry & Personal Goods",377,376,163,234
66079287213,Hendrerit Corporation,"Fashion, Jewelry & Personal Goods",226,228,467,236
86662713230,Vestibulum Accumsan Associates,"Fashion, Jewelry & Personal Goods",209,209,508,237
60650953328,Integer LLC,"Fashion, Jewelry & Personal Goods",223,223,483,238
